date, text
11 de marzo, Federación-Gloria-Argentina
14 de marzo, Federación-sistema-de América
5 de junio, Empleados-sin pudor-baldón 
6 de junio, Nación-sin garantías-teoría
1 de abril, Quiroga-Ilustre-Invicto
16 de abril, Motín-mancha-unitaria
8 de mayo, Unitarios-mancharon-la Historia
19 de mayo, Federación-clamor-popular
7 de junio, Derechos-sin deberes-violencia
17 de abril, Centro-marchando-glorioso
24 de abril, De Bahía- corta-distancia
26 de abril, Del mar-sólo-una legua
27 de abril, Los indios-enemigos-se someten
29 de abril, Pronto-estaremos-en marcha
5 de abril, El otoño-se anuncia-húmedo
29 de junio, Chocory-corrido-deshecho
24 de julio, Pacheco-marchando-glorioso
30 de julio, Chocori-pagó-sus delitos
2 de julio, Codicia-envilece-el espíritu
14 de abril, Constancia-supera-imposibles
7 de mayo, Fanatismo -preocupación-infernal
12 de mayo, Orgullo-aleja-amistades
12 de julio, Crueldad-muestra-cobardía
16 de julio, Culto- sin Piedad-profanación
19 de julio, Trabajo-sin método-ruina
17 de julio, Amor- sin respeto-novela
21 de julio, Patriotismo-sin desprendimiento-conversación
25 de mayo, Salve-Mayo -Glorioso
16 de marzo, Al sud-está-la gloria
15 de abril, Patricios-virtuosos-guerreros
23 de abril, El ocio-enerva-al soldado
5 de mayo, Se desean-glorias-a la vanguardia
10 de mayo, Colorado-Negro-Federación o Muerte
8 de abril, Naturaleza-pródiga-en la sierra
22 de diciembre, Humilde-soledad-verde y sonora
